"Data Source: Data Downloads Tools in the Climate Toolbox (https://climatetoolbox.org/tool/data-download)"
Download Date: 10/18/2021

Product: Historical Climate (Daily) - gridMET (METDATA)(http://www.climatologylab.org/gridmet.html) 
"Location (Lat/Lon of 4-km Grid Cell Center): 47.4833 North,-121.0167 East" 
Variable List: 
tmmn: Min Temperature
tmmx: Max Temperature
pr: Precipitation
********************************************************
Year,Month,Day,tmmn(degC),tmmx(degC),pr(mm)
1979,1,1,-21.45,-15.25,0
1979,1,2,-16.65,-8.35,0
1979,1,3,-15.85,-9.75,0
1979,1,4,-16.85,-11.85,0
1979,1,5,-17.85,-9.05,0
1979,1,6,-16.15,-9.35,0
1979,1,7,-16.45,-9.95,0
1979,1,8,-16.15,-7.65,0
1979,1,9,-12.95,-6.65,5.3
1979,1,10,-10.85,-1.15,29.1
1979,1,11,-7.65,-2.15,2.3
1979,1,12,-6.85,-2.35,4
1979,1,13,-10.35,-4.15,2.1
1979,1,14,-11.05,-5.05,5.5
1979,1,15,-13.25,-4.75,0.8
1979,1,16,-14.05,-4.15,0
1979,1,17,-11.55,-3.85,0
1979,1,18,-11.05,-2.55,2.7
1979,1,19,-8.45,-1.35,6.5
1979,1,20,-5.45,0.35,15.8
1979,1,21,-11.25,-0.15,4.6
1979,1,22,-12.85,-4.05,0.3
1979,1,23,-10.45,-2.25,0.8
1979,1,24,-12.25,-3.25,0.5
1979,1,25,-13.85,-5.65,0.9
1979,1,26,-15.25,-4.65,1.9
1979,1,27,-10.05,-5.55,2.3
1979,1,28,-14.85,-5.65,0.5
1979,1,29,-18.05,-7.85,0
1979,1,30,-18.35,-9.15,1
1979,1,31,-20.15,-10.65,0
1979,2,1,-21.05,-10.15,0
1979,2,2,-19.25,-7.15,1.1
1979,2,3,-10.35,-4.55,3.6
1979,2,4,-7.75,-1.45,6.1
1979,2,5,-6.55,0.25,27.7
1979,2,6,-6.25,0.45,62.7
1979,2,7,-8.35,-0.35,17.2
1979,2,8,-8.25,-0.25,13.6
1979,2,9,-2.85,-0.35,7.6
1979,2,10,-4.45,-0.65,8.9
1979,2,11,-4.45,-0.15,14.3
1979,2,12,-1.85,0.75,14.8
1979,2,13,-6.15,0.45,4.9
1979,2,14,-11.15,-5.35,0
1979,2,15,-8.45,-3.95,4.8
1979,2,16,-7.75,-2.35,11.3
1979,2,17,-9.45,-0.45,12
1979,2,18,-5.25,-1.15,4
1979,2,19,-9.25,-3.55,5.5
1979,2,20,-11.95,-3.15,5.6
1979,2,21,-9.55,-2.45,4
1979,2,22,-11.45,-4.15,2.3
1979,2,23,-8.45,-2.65,6.4
1979,2,24,-6.35,-0.75,14.9
1979,2,25,-1.75,1.35,10.3
1979,2,26,-4.65,0.35,4.8
1979,2,27,-6.85,-1.05,4.8
1979,2,28,-7.65,-2.05,0
1979,3,1,-10.05,-0.25,0
1979,3,2,-10.15,0.95,0
1979,3,3,-6.45,-0.35,9.5
1979,3,4,-4.35,3.25,30.5
1979,3,5,-1.25,6.75,28.8
1979,3,6,1.75,11.15,10.5
1979,3,7,-4.45,5.15,3.2
1979,3,8,-6.85,4.05,0
1979,3,9,-4.95,4.55,0
1979,3,10,-4.45,8.45,0
1979,3,11,-1.25,11.35,0
1979,3,12,-5.25,6.25,0
1979,3,13,-2.85,7.95,0
1979,3,14,-2.35,9.95,0.7
1979,3,15,-2.15,5.65,9.4
1979,3,16,-6.35,2.45,0
1979,3,17,-6.65,4.15,1.9
1979,3,18,-3.95,3.85,0
1979,3,19,-2.95,6.85,0
1979,3,20,-2.55,6.95,0
1979,3,21,-3.55,7.15,0
1979,3,22,-3.05,8.45,0
1979,3,23,-3.05,11.85,0.5
1979,3,24,-2.35,7.55,1.4
1979,3,25,-5.45,4.75,0
1979,3,26,-6.35,1.55,5
1979,3,27,-3.85,3.25,4.4
1979,3,28,-3.75,2.35,4.5
1979,3,29,-6.45,-0.05,1.1
1979,3,30,-6.05,-1.65,5.7
1979,3,31,-6.75,0.05,1.7
1979,4,1,-5.65,1.45,3
1979,4,2,-5.35,2.05,2.3
1979,4,3,-5.35,1.65,4.5
1979,4,4,-3.95,6.35,4.5
1979,4,5,-2.95,11.45,0
1979,4,6,-1.05,7.85,0.3
1979,4,7,-4.15,7.85,0.4
1979,4,8,-1.45,6.25,3.9
1979,4,9,-4.75,3.05,2
1979,4,10,-6.45,2.75,4.8
1979,4,11,-3.95,1.65,5.2
1979,4,12,-6.05,3.25,15.7
1979,4,13,-4.75,1.65,5.2
1979,4,14,-5.75,3.55,0.6
1979,4,15,-5.05,3.25,8.3
1979,4,16,-3.65,7.95,4.9
1979,4,17,-3.65,3.75,2
1979,4,18,-5.55,3.25,0.9
1979,4,19,-4.85,2.75,0.5
1979,4,20,-6.15,7.85,0
1979,4,21,-3.15,9.95,0
1979,4,22,-0.85,11.55,0
1979,4,23,-0.35,8.55,0.6
1979,4,24,0.55,9.15,0.6
1979,4,25,-1.55,12.85,0
1979,4,26,0.35,15.75,0
1979,4,27,3.85,17.05,0
1979,4,28,2.85,17.35,0
1979,4,29,2.65,16.55,0
1979,4,30,2.85,16.85,0
1979,5,1,3.15,14.05,0.7
1979,5,2,0.35,12.95,0
1979,5,3,1.75,14.65,0
1979,5,4,4.35,9.05,8.6
1979,5,5,2.15,9.25,6
1979,5,6,-0.25,7.45,5.1
1979,5,7,-2.25,7.95,0
1979,5,8,-2.35,9.75,0.7
1979,5,9,-1.85,10.85,0.3
1979,5,10,-1.55,8.05,0.3
1979,5,11,-2.25,13.25,0.3
1979,5,12,0.55,10.25,0
1979,5,13,0.55,13.95,0
1979,5,14,2.25,17.35,0
1979,5,15,4.15,15.45,0.7
1979,5,16,1.35,11.85,0.5
1979,5,17,-0.05,14.15,1.2
1979,5,18,0.95,12.35,0
1979,5,19,-0.65,16.05,0
1979,5,20,3.75,19.05,0
1979,5,21,3.85,18.85,0
1979,5,22,6.55,21.95,0.9
1979,5,23,7.15,16.45,0
1979,5,24,1.85,17.35,0.7
1979,5,25,3.95,21.25,0
1979,5,26,3.05,16.05,0.9
1979,5,27,-3.55,6.55,7.5
1979,5,28,-3.75,6.25,0.9
1979,5,29,-2.75,10.95,0.4
1979,5,30,-0.75,16.55,0
1979,5,31,3.45,18.85,0
1979,6,1,6.55,21.45,0
1979,6,2,7.15,23.35,0
1979,6,3,6.95,20.85,0
1979,6,4,5.75,15.65,0
1979,6,5,4.25,10.75,3.7
1979,6,6,-1.65,8.95,0.5
1979,6,7,-1.25,13.25,0
1979,6,8,0.65,17.45,0
1979,6,9,5.55,20.55,0
1979,6,10,7.35,20.45,0
1979,6,11,6.45,20.95,0
1979,6,12,3.15,16.65,0
1979,6,13,-0.55,10.35,2.1
1979,6,14,-1.05,13.25,0
1979,6,15,-0.45,14.95,0
1979,6,16,0.75,11.45,6.1
1979,6,17,2.25,11.15,0.9
1979,6,18,4.95,15.55,0.5
1979,6,19,1.05,14.05,0.6
1979,6,20,-0.15,15.15,0
1979,6,21,0.95,15.95,0
1979,6,22,1.55,17.55,0
1979,6,23,2.15,17.65,0
1979,6,24,4.15,21.25,0
1979,6,25,6.25,23.35,0
1979,6,26,7.15,23.85,0
1979,6,27,6.65,22.85,0
1979,6,28,7.65,24.95,0
1979,6,29,7.15,19.05,0
1979,6,30,1.95,11.45,10.2
1979,7,1,1.45,7.55,8.5
1979,7,2,-3.05,14.85,0.4
1979,7,3,2.35,21.35,0
1979,7,4,7.75,20.95,0.6
1979,7,5,5.75,21.95,1.1
1979,7,6,7.35,21.85,0
1979,7,7,5.85,20.35,0
1979,7,8,7.45,18.75,1.8
1979,7,9,9.95,24.15,11.5
1979,7,10,5.85,16.75,3.8
1979,7,11,5.55,17.15,1.7
1979,7,12,1.95,15.35,0.3
1979,7,13,2.15,17.85,0
1979,7,14,4.95,21.75,0
1979,7,15,8.95,25.35,0
1979,7,16,11.65,28.25,0
1979,7,17,15.75,29.45,0
1979,7,18,13.25,29.65,0
1979,7,19,12.35,29.85,0
1979,7,20,12.15,28.05,0
1979,7,21,9.85,21.55,0
1979,7,22,6.35,22.05,0
1979,7,23,6.35,21.65,0
1979,7,24,7.75,23.85,0
1979,7,25,8.45,24.35,0
1979,7,26,9.25,25.85,0
1979,7,27,9.15,25.35,0
1979,7,28,6.45,21.05,0
1979,7,29,4.45,22.55,0
1979,7,30,6.65,24.95,0
1979,7,31,8.05,23.25,0
1979,8,1,9.15,19.55,0
1979,8,2,5.45,21.45,0
1979,8,3,5.55,17.25,0
1979,8,4,3.45,20.05,0
1979,8,5,5.05,17.15,0
1979,8,6,3.55,19.15,0
1979,8,7,7.35,21.25,0
1979,8,8,4.85,21.35,0
1979,8,9,7.45,25.25,0
1979,8,10,9.65,26.05,0
1979,8,11,7.85,20.75,0
1979,8,12,6.95,23.45,0
1979,8,13,9.25,22.95,2
1979,8,14,8.55,15.75,1.3
1979,8,15,8.25,20.95,0
1979,8,16,8.15,21.35,4.5
1979,8,17,9.25,21.45,0
1979,8,18,4.55,15.55,2.4
1979,8,19,5.75,18.05,4
1979,8,20,8.85,22.05,2
1979,8,21,11.05,23.55,2.2
1979,8,22,7.85,22.05,0
1979,8,23,8.15,20.75,0
1979,8,24,5.75,19.05,0
1979,8,25,6.75,21.55,0.8
1979,8,26,8.95,21.85,2
1979,8,27,7.65,20.55,0
1979,8,28,7.25,21.75,0
1979,8,29,8.35,22.95,0.6
1979,8,30,8.45,17.55,0.9
1979,8,31,3.95,15.55,1.2
1979,9,1,6.85,14.25,15.6
1979,9,2,6.05,13.95,14.7
1979,9,3,3.65,13.85,1.1
1979,9,4,3.75,12.95,0.4
1979,9,5,4.45,15.75,0.5
1979,9,6,4.75,15.85,0
1979,9,7,6.15,22.75,0.5
1979,9,8,5.75,13.85,5.3
1979,9,9,3.15,12.45,0.9
1979,9,10,0.75,15.55,0
1979,9,11,3.15,17.05,0
1979,9,12,4.95,19.05,0
1979,9,13,6.55,21.15,0
1979,9,14,8.35,24.55,0
1979,9,15,11.75,24.65,0
1979,9,16,6.65,17.55,0
1979,9,17,5.45,21.95,0
1979,9,18,9.15,24.25,0
1979,9,19,9.35,23.15,0
1979,9,20,9.05,23.15,0
1979,9,21,5.85,16.85,0
1979,9,22,3.05,16.85,0
1979,9,23,3.65,19.55,0
1979,9,24,7.25,21.15,0.5
1979,9,25,7.35,23.05,0
1979,9,26,4.05,14.55,0
1979,9,27,3.25,17.25,5.1
1979,9,28,1.25,12.65,0
1979,9,29,4.75,15.85,0
1979,9,30,3.65,14.55,1.9
1979,10,1,5.45,17.95,0
1979,10,2,1.55,16.25,0
1979,10,3,3.75,17.95,0
1979,10,4,6.25,19.75,0
1979,10,5,4.15,18.95,0
1979,10,6,5.75,19.45,0
1979,10,7,5.85,17.25,0
1979,10,8,4.65,14.75,0
1979,10,9,2.05,15.35,0
1979,10,10,5.55,17.95,0
1979,10,11,4.75,17.05,0
1979,10,12,5.75,17.15,0
1979,10,13,4.25,12.25,0.6
1979,10,14,3.45,9.35,1
1979,10,15,1.65,10.05,1.6
1979,10,16,1.85,7.75,3.3
1979,10,17,-2.75,7.15,1.8
1979,10,18,-0.25,3.75,22
1979,10,19,-0.15,4.15,6.9
1979,10,20,-1.55,5.45,0.4
1979,10,21,-4.05,6.15,0.3
1979,10,22,0.45,6.45,9.1
1979,10,23,1.05,6.45,27
1979,10,24,0.45,5.95,13.4
1979,10,25,1.15,7.55,11.1
1979,10,26,-0.05,4.95,7.4
1979,10,27,0.65,3.75,17.6
1979,10,28,-1.35,2.25,7.1
1979,10,29,-3.65,3.65,0
1979,10,30,-2.05,2.95,1.7
1979,10,31,-3.25,2.45,0
1979,11,1,-5.35,3.05,0.8
1979,11,2,-2.05,0.35,3.4
1979,11,3,-1.05,1.85,13.2
1979,11,4,-0.45,2.05,7.6
1979,11,5,-0.45,2.75,4.6
1979,11,6,-1.05,4.55,0
1979,11,7,-2.05,6.05,0
1979,11,8,-2.35,5.75,0
1979,11,9,-3.75,4.85,0
1979,11,10,-4.15,4.75,0.4
1979,11,11,-4.35,4.55,0
1979,11,12,-4.15,3.95,0
1979,11,13,-3.65,3.45,0
1979,11,14,-3.05,4.45,0
1979,11,15,-3.05,4.75,0.8
1979,11,16,-0.85,3.35,2.2
1979,11,17,-3.35,0.15,2.6
1979,11,18,-6.55,-2.95,1.7
1979,11,19,-8.05,-1.85,0.7
1979,11,20,-7.25,-0.15,0
1979,11,21,-6.85,-1.25,0
1979,11,22,-6.05,-3.25,14.5
1979,11,23,-7.85,-3.85,6.5
1979,11,24,-8.35,-4.95,8.8
1979,11,25,-10.25,-5.35,1.3
1979,11,26,-11.75,-5.85,0.7
1979,11,27,-13.85,-6.45,0.3
1979,11,28,-10.65,-7.25,0
1979,11,29,-11.65,-6.65,0
1979,11,30,-8.45,-2.15,7.7
1979,12,1,-8.75,-2.95,30.9
1979,12,2,-5.15,0.95,28.4
1979,12,3,-5.15,2.15,25.3
1979,12,4,-4.65,3.15,35.1
1979,12,5,-5.25,-0.85,4.4
1979,12,6,-3.25,0.45,4.5
1979,12,7,-3.55,2.55,1.1
1979,12,8,-1.55,4.35,4.5
1979,12,9,-3.05,4.15,13.5
1979,12,10,-8.75,-2.85,5.2
1979,12,11,-9.95,-3.05,9.3
1979,12,12,-8.35,-2.55,22.4
1979,12,13,-7.35,2.15,47.6
1979,12,14,-0.25,3.65,61
1979,12,15,-6.55,3.45,25.3
1979,12,16,-8.15,-2.65,17.4
1979,12,17,-3.85,3.65,46.8
1979,12,18,0.25,4.05,12.8
1979,12,19,-1.65,2.85,9.9
1979,12,20,-2.25,2.75,5.7
1979,12,21,-4.45,1.85,5.3
1979,12,22,-8.95,-3.35,5.3
1979,12,23,-9.45,-4.35,9.1
1979,12,24,-7.25,-0.95,4
1979,12,25,-6.75,-0.25,0.7
1979,12,26,-6.75,-0.45,0.8
1979,12,27,-6.95,-0.05,0.5
1979,12,28,-7.35,-0.75,1.7
1979,12,29,-6.35,-1.15,2.6
1979,12,30,-6.05,-1.45,7.1
1979,12,31,-4.45,-0.15,11.8
1980,1,1,-4.75,-0.15,10.6
1980,1,2,-4.45,-0.85,4.8
1980,1,3,-9.65,-2.95,1.3
1980,1,4,-7.95,-1.45,5.2
1980,1,5,-10.85,-3.25,3.9
1980,1,6,-14.75,-7.15,0.4
1980,1,7,-14.75,-6.55,5.1
1980,1,8,-15.05,-10.65,21.9
1980,1,9,-14.85,-8.45,12.8
1980,1,10,-13.55,-8.35,9.8
1980,1,11,-10.85,-4.25,32.1
1980,1,12,-6.35,3.25,62.6
1980,1,13,-9.25,-0.85,26.9
1980,1,14,-6.95,-0.25,5.8
1980,1,15,-8.05,-0.65,13.8
1980,1,16,-3.65,-0.45,9.5
1980,1,17,-12.75,-2.85,2.4
1980,1,18,-16.25,-6.65,2.2
1980,1,19,-14.55,-4.85,0
1980,1,20,-10.75,-1.35,0
1980,1,21,-7.55,-1.15,0.3
1980,1,22,-7.45,-0.15,0
1980,1,23,-4.35,1.25,0
1980,1,24,-8.95,0.65,0
1980,1,25,-12.45,-6.75,5.6
1980,1,26,-20.05,-11.55,0
1980,1,27,-25.55,-15.25,0
1980,1,28,-24.75,-15.45,0
1980,1,29,-24.65,-12.35,0
1980,1,30,-20.55,-10.45,0
1980,1,31,-13.85,-5.75,11.4
1980,2,1,-8.35,0.45,26.1
1980,2,2,-1.65,1.05,18.2
1980,2,3,-3.35,0.45,10.2
1980,2,4,-7.95,-0.35,2.3
1980,2,5,-4.35,0.15,7.3
1980,2,6,-2.95,0.65,8.3
1980,2,7,-6.65,1.25,1.2
1980,2,8,-6.85,0.35,0
1980,2,9,-8.85,-1.25,0
1980,2,10,-9.75,0.05,0
1980,2,11,-9.25,-0.55,0
1980,2,12,-8.65,0.15,5.2
1980,2,13,-9.15,-5.05,3.6
1980,2,14,-15.55,-8.35,3.1
1980,2,15,-15.25,-5.35,11.9
1980,2,16,-7.85,-0.55,1.9
1980,2,17,-5.25,0.95,14.4
1980,2,18,-0.65,2.25,12.3
1980,2,19,-3.85,2.05,2.3
1980,2,20,-4.95,0.75,4.1
1980,2,21,-9.15,-0.05,0
1980,2,22,-9.45,-0.35,0
1980,2,23,-8.15,0.65,0.3
1980,2,24,-5.95,0.35,1.1
1980,2,25,-4.25,2.25,12.3
1980,2,26,-0.65,4.15,34.6
1980,2,27,1.45,5.15,12.8
1980,2,28,-3.05,2.75,4.6
1980,2,29,-4.95,3.35,0
1980,3,1,-2.65,3.05,0.5
1980,3,2,-1.65,5.35,0
1980,3,3,-2.75,2.95,4.2
1980,3,4,-5.05,1.55,2.7
1980,3,5,-7.15,-1.05,0
1980,3,6,-7.65,1.45,1.7
1980,3,7,-6.25,1.05,0
1980,3,8,-5.45,0.25,2.7
1980,3,9,-5.75,-0.05,1.1
1980,3,10,-3.75,3.15,4.9
1980,3,11,-6.75,-0.35,6.8
1980,3,12,-7.75,-0.95,18
1980,3,13,-6.45,-1.95,15.3
1980,3,14,-7.65,-1.95,5.5
1980,3,15,-8.35,-2.85,5.2
1980,3,16,-9.35,-0.75,4.8
1980,3,17,-4.75,0.85,8.5
1980,3,18,-4.95,0.45,2.1
1980,3,19,-4.45,3.45,2.8
1980,3,20,-3.65,2.55,1.9
1980,3,21,-5.05,4.45,0.3
1980,3,22,-3.65,5.15,6.7
1980,3,23,-7.45,-0.55,0.7
1980,3,24,-6.85,1.85,0
1980,3,25,-5.95,2.75,0
1980,3,26,-5.55,1.65,7.9
1980,3,27,-6.75,0.95,1.6
1980,3,28,-5.65,0.65,17.4
1980,3,29,-6.65,-2.05,4
1980,3,30,-7.35,2.55,0
1980,3,31,-6.25,3.15,0
1980,4,1,-3.75,2.75,0
1980,4,2,-4.25,5.35,0
1980,4,3,-2.15,6.25,0
1980,4,4,-1.95,7.95,3.9
1980,4,5,-1.35,7.95,11.7
1980,4,6,-5.25,1.55,2.7
1980,4,7,-6.65,3.65,0.3
1980,4,8,-3.05,4.95,5.6
1980,4,9,-2.75,3.85,14.9
1980,4,10,-4.25,4.55,0.4
1980,4,11,-4.65,9.35,0
1980,4,12,-0.05,12.25,0
1980,4,13,1.65,14.55,2
1980,4,14,0.65,10.35,5.7
1980,4,15,-2.05,7.85,0.5
1980,4,16,-1.65,14.15,0
1980,4,17,1.55,11.95,0.3
1980,4,18,-0.85,12.65,1
1980,4,19,2.15,9.05,6
1980,4,20,0.35,8.65,8.9
1980,4,21,0.25,9.45,2.8
1980,4,22,0.05,13.85,0
1980,4,23,-1.85,13.45,0
1980,4,24,-2.75,7.95,0
1980,4,25,-4.15,11.75,0
1980,4,26,0.55,15.95,0
1980,4,27,3.35,19.55,0
1980,4,28,3.05,15.45,6.3
1980,4,29,-2.45,5.75,1.1
1980,4,30,-3.35,14.15,0.3
1980,5,1,4.45,16.35,0
1980,5,2,1.65,10.95,0
1980,5,3,-1.35,15.65,0
1980,5,4,3.25,19.45,2
1980,5,5,7.55,18.55,1.3
1980,5,6,1.85,10.15,0.6
1980,5,7,-0.25,12.75,0
1980,5,8,0.35,9.05,0.5
1980,5,9,-1.05,8.15,4.5
1980,5,10,-0.45,12.25,0
1980,5,11,3.65,15.75,0
1980,5,12,2.35,12.65,0
1980,5,13,-1.35,11.35,8.2
1980,5,14,-1.05,8.85,2.7
1980,5,15,-2.55,8.95,1.3
1980,5,16,-0.65,11.15,0
1980,5,17,-0.55,15.85,0.6
1980,5,18,3.05,15.95,0
1980,5,19,3.35,12.35,0
1980,5,20,4.15,11.35,0.3
1980,5,21,3.95,12.85,1.1
1980,5,22,-0.95,6.15,0.3
1980,5,23,-5.15,8.25,0.3
1980,5,24,-2.25,6.75,0.4
1980,5,25,-0.55,8.75,5.4
1980,5,26,1.05,6.85,10.3
1980,5,27,0.35,7.65,1.8
1980,5,28,0.25,11.75,0
1980,5,29,0.05,12.05,0.7
1980,5,30,0.65,13.45,0
1980,5,31,1.85,15.15,0.3
1980,6,1,0.75,7.55,2.1
1980,6,2,-2.45,7.15,0.7
1980,6,3,-0.75,7.65,0
1980,6,4,-2.15,11.25,0.3
1980,6,5,0.25,8.35,3.2
1980,6,6,0.55,10.75,0.3
1980,6,7,4.15,14.85,1.3
1980,6,8,7.55,16.75,0.7
1980,6,9,4.05,14.85,0
1980,6,10,0.65,14.25,0
1980,6,11,0.45,14.35,1.1
1980,6,12,3.55,13.25,2.3
1980,6,13,4.25,15.25,1.2
1980,6,14,3.25,17.55,1
1980,6,15,4.25,18.15,2.8
1980,6,16,6.95,18.25,6
1980,6,17,2.45,13.55,1.6
1980,6,18,1.95,15.75,0
1980,6,19,3.25,18.75,0.3
1980,6,20,7.25,18.85,0
1980,6,21,5.25,16.75,0
1980,6,22,4.35,10.75,0
1980,6,23,0.45,13.35,0.4
1980,6,24,3.85,13.85,3.7
1980,6,25,5.65,11.85,21.2
1980,6,26,-0.55,10.75,2.8
1980,6,27,2.05,12.35,0.3
1980,6,28,1.65,15.55,0
1980,6,29,1.05,11.95,0
1980,6,30,1.65,19.05,0
1980,7,1,7.05,22.25,0.4
1980,7,2,7.35,19.85,0.3
1980,7,3,3.75,13.55,1.8
1980,7,4,3.05,13.45,0.5
1980,7,5,-0.65,15.55,0
1980,7,6,1.75,18.75,0
1980,7,7,7.35,23.55,0
1980,7,8,9.95,24.85,2.9
1980,7,9,10.15,23.45,2.4
1980,7,10,6.45,15.75,1.7
1980,7,11,5.45,15.05,1.1
1980,7,12,2.95,18.65,0
1980,7,13,6.55,19.75,0
1980,7,14,7.65,17.15,0.5
1980,7,15,5.35,18.65,0.4
1980,7,16,5.75,18.85,0
1980,7,17,4.35,19.55,0
1980,7,18,7.95,19.85,0
1980,7,19,7.65,18.85,0.6
1980,7,20,7.85,23.95,0
1980,7,21,13.05,28.05,0.5
1980,7,22,15.55,27.55,0.5
1980,7,23,8.05,20.75,0
1980,7,24,6.75,23.65,0
1980,7,25,8.35,22.85,0
1980,7,26,8.15,24.35,0
1980,7,27,8.75,24.75,0
1980,7,28,8.65,25.25,0
1980,7,29,7.15,22.35,0
1980,7,30,5.85,22.15,0
1980,7,31,6.75,22.15,0
1980,8,1,6.55,19.05,0
1980,8,2,6.35,14.85,0.6
1980,8,3,2.85,16.15,0
1980,8,4,4.05,18.25,0
1980,8,5,3.25,15.75,0
1980,8,6,3.95,18.05,0
1980,8,7,5.75,20.25,0.5
1980,8,8,9.95,22.15,1.1
1980,8,9,8.55,23.05,0.3
1980,8,10,10.65,24.55,0
1980,8,11,12.95,24.35,0
1980,8,12,9.45,23.25,0
1980,8,13,8.35,21.95,0.9
1980,8,14,6.75,19.55,0
1980,8,15,4.45,17.55,0
1980,8,16,5.95,14.65,1.1
1980,8,17,5.95,12.85,4.6
1980,8,18,4.35,16.25,3.6
1980,8,19,4.75,18.75,0
1980,8,20,4.25,17.55,0
1980,8,21,4.85,17.55,0
1980,8,22,7.15,20.75,0
1980,8,23,8.65,19.25,0
1980,8,24,5.85,16.95,0
1980,8,25,4.85,18.75,0
1980,8,26,5.55,18.15,0.9
1980,8,27,3.35,13.05,3
1980,8,28,0.55,12.75,0.4
1980,8,29,0.65,15.85,0
1980,8,30,3.35,13.25,0.6
1980,8,31,2.95,13.95,8.4
1980,9,1,1.65,11.75,15.3
1980,9,2,3.05,10.75,2.3
1980,9,3,0.35,14.25,0
1980,9,4,5.85,18.35,0
1980,9,5,6.45,21.05,0
1980,9,6,8.05,20.05,0.7
1980,9,7,6.15,15.15,0
1980,9,8,4.55,18.65,0
1980,9,9,6.55,21.25,0
1980,9,10,9.15,22.95,0
1980,9,11,7.35,17.95,0.5
1980,9,12,5.95,14.35,4.8
1980,9,13,5.25,10.65,26.6
1980,9,14,2.75,18.15,0
1980,9,15,6.45,18.05,0
1980,9,16,6.05,19.65,0
1980,9,17,5.35,17.45,0
1980,9,18,2.75,12.35,3.5
1980,9,19,3.75,9.35,15.2
1980,9,20,1.25,6.85,9.9
1980,9,21,-0.45,9.55,1
1980,9,22,0.15,9.65,1
1980,9,23,3.65,14.25,0
1980,9,24,1.25,15.25,0
1980,9,25,4.05,15.95,0
1980,9,26,5.85,19.45,0
1980,9,27,5.85,18.55,0
1980,9,28,4.45,13.65,0
1980,9,29,6.25,13.05,4
1980,9,30,3.25,9.95,0.4
1980,10,1,1.55,11.35,0
1980,10,2,3.15,14.95,0
1980,10,3,5.55,18.85,0
1980,10,4,3.85,16.35,0
1980,10,5,7.75,19.35,0
1980,10,6,8.45,17.65,0
1980,10,7,6.55,15.85,0
1980,10,8,0.65,7.45,0
1980,10,9,-2.25,7.65,0
1980,10,10,1.75,12.05,0
1980,10,11,3.55,11.75,2.5
1980,10,12,1.05,7.55,7.1
1980,10,13,0.85,6.25,0.7
1980,10,14,-1.25,6.15,0
1980,10,15,-2.45,7.15,0
1980,10,16,-1.45,8.55,0
1980,10,17,-1.65,9.35,0
1980,10,18,-1.85,8.05,0
1980,10,19,3.95,9.65,0
1980,10,20,1.05,7.15,1.7
1980,10,21,-2.85,2.45,0
1980,10,22,-3.95,5.25,0
1980,10,23,-3.05,6.65,0
1980,10,24,0.05,8.55,2.6
1980,10,25,-1.45,4.05,1
1980,10,26,-3.35,4.35,0
1980,10,27,-3.35,5.85,0
1980,10,28,-1.45,8.15,0
1980,10,29,-0.35,9.25,0
1980,10,30,2.15,10.25,0
1980,10,31,-0.05,4.05,10.9
1980,11,1,0.25,3.95,25.6
1980,11,2,-2.85,3.55,7.9
1980,11,3,0.45,5.15,12.5
1980,11,4,2.65,11.05,3.3
1980,11,5,0.85,8.75,19.4
1980,11,6,-0.55,3.25,51.6
1980,11,7,0.15,4.45,53.2
1980,11,8,-2.35,1.75,11.6
1980,11,9,-4.85,0.85,5.5
1980,11,10,-7.15,-0.25,0
1980,11,11,-7.45,-0.75,0
1980,11,12,-8.45,-1.45,0
1980,11,13,-9.45,-1.85,0
1980,11,14,-8.75,-2.75,2.7
1980,11,15,-9.05,-2.15,0
1980,11,16,-9.25,-3.65,2.5
1980,11,17,-5.65,-1.75,4.8
1980,11,18,-3.45,0.65,6.3
1980,11,19,-3.35,1.85,4.2
1980,11,20,-3.75,1.15,19.5
1980,11,21,-2.45,2.95,31.9
1980,11,22,-7.15,-1.75,0.5
1980,11,23,-8.05,-2.25,0.3
1980,11,24,-9.55,-2.95,0.5
1980,11,25,-7.45,-2.35,10
1980,11,26,-7.55,-1.55,1.3
1980,11,27,-3.95,1.75,23.9
1980,11,28,-7.55,-1.55,5.3
1980,11,29,-5.95,-0.15,34.5
1980,11,30,-7.15,-1.95,3.8
1980,12,1,-6.75,-1.55,31
1980,12,2,-6.25,0.25,41.9
1980,12,3,-4.55,-0.15,12.7
1980,12,4,-9.35,-1.65,7.3
1980,12,5,-11.95,-5.65,1.8
1980,12,6,-15.75,-6.35,1.5
1980,12,7,-17.85,-6.85,0
1980,12,8,-12.95,-1.55,0
1980,12,9,-10.35,-0.95,0.7
1980,12,10,-3.95,1.65,35.6
1980,12,11,-3.45,1.05,2.5
1980,12,12,-3.85,2.05,0
1980,12,13,-5.15,1.45,6.6
1980,12,14,-3.15,3.95,15.2
1980,12,15,0.75,6.45,0.3
1980,12,16,0.45,6.75,0
1980,12,17,-3.05,5.05,0
1980,12,18,-5.75,1.45,0
1980,12,19,-7.45,-1.15,0
1980,12,20,-6.25,0.15,17.1
1980,12,21,-1.75,1.35,23.8
1980,12,22,-1.85,1.65,11.2
1980,12,23,-3.85,1.15,0.5
1980,12,24,-2.05,1.35,58.4
1980,12,25,-0.45,5.15,53.6
1980,12,26,2.15,7.85,33.2
1980,12,27,-2.55,5.65,12.4
1980,12,28,-3.05,2.65,1.4
1980,12,29,-1.75,4.35,14.1
1980,12,30,0.45,6.15,12.1
1980,12,31,0.15,4.35,0.4
