Year,Month,taMax,taMin,prcp
1979,1,-5.73709677419355,-13.491935483870972,86.89999999999999
1979,10,10.395161290322577,1.6564516129032258,132.29999999999998
1979,11,0.28999999999999987,-5.423333333333332,77.80000000000001
1979,12,0.46290322580645177,-5.546774193548386,460.00000000000006
1979,2,-1.9464285714285712,-8.124999999999998,273.2000000000001
1979,3,4.9790322580645165,-4.456451612903226,118.80000000000003
1979,4,7.506666666666666,-2.7766666666666677,70.2
1979,5,13.508064516129034,1.0693548387096776,35.69999999999999
1979,6,17.136666666666667,3.4433333333333342,24.6
1979,7,22.18225806451613,7.1661290322580635,29.7
1979,8,20.579032258064515,7.19516129032258,23.9
1979,9,18.0,5.46,46.49999999999999
1980,1,-4.698387096774193,-12.26290322580645,248.40000000000003
1980,10,9.417741935483873,0.6822580645161286,26.5
1980,11,0.7333333333333336,-4.96,342.6
1980,12,1.4854838709677418,-4.875806451612903,395.29999999999995
1980,2,0.2534482758620689,-6.387931034482759,198.10000000000002
1980,3,1.1854838709677418,-5.785483870967742,127.30000000000001
1980,4,9.563333333333333,-1.5200000000000005,74.39999999999999
1980,5,11.843548387096773,0.82741935483871,42.60000000000001
1980,6,13.77666666666667,2.520000000000001,53.3
1980,7,20.81129032258065,6.927419354838711,13.6
1980,8,18.033870967741937,5.70483870967742,26.0
1980,9,15.276666666666667,4.433333333333334,85.20000000000002
1981,1,1.0241935483870968,-4.433870967741935,61.800000000000004
1981,10,7.391935483870968,-0.4435483870967743,137.89999999999995
1981,11,1.9266666666666667,-3.85,146.99999999999997
1981,12,-2.3629032258064515,-8.246774193548386,242.80000000000007
1981,2,0.9428571428571428,-6.346428571428572,266.69999999999993
1981,3,5.143548387096773,-3.979032258064516,59.8
1981,4,7.106666666666666,-3.083333333333334,157.8
1981,5,10.87258064516129,-0.4693548387096775,56.9
1981,6,13.229999999999999,2.216666666666667,91.19999999999999
1981,7,19.20806451612903,5.898387096774194,26.599999999999998
1981,8,23.73709677419355,9.753225806451614,12.8
1981,9,15.986666666666668,4.459999999999999,70.69999999999999
1982,1,-2.879032258064515,-8.869354838709675,313.90000000000003
1982,10,6.65,-0.7564516129032259,159.3
1982,11,-1.3966666666666667,-6.88,157.70000000000002
1982,12,-2.440322580645161,-9.082258064516129,309.79999999999995
1982,2,-1.35,-8.76428571428571,509.0
1982,3,2.546774193548387,-6.343548387096775,215.70000000000002
1982,4,5.623333333333335,-5.0233333333333325,95.6
1982,5,11.520967741935484,-0.31129032258064526,24.700000000000006
1982,6,18.26333333333333,5.5233333333333325,15.2
1982,7,19.85967741935484,6.0758064516129044,38.8
1982,8,20.15322580645161,7.088709677419355,27.399999999999995
1982,9,14.933333333333334,4.066666666666666,94.1
1983,1,0.75,-5.256451612903226,372.99999999999994
1983,10,8.29516129032258,-0.09838709677419356,59.8
1983,11,-0.29333333333333333,-5.209999999999999,413.2
1983,12,-6.017741935483872,-13.108064516129032,198.90000000000003
1983,2,0.5892857142857142,-5.042857142857144,177.1
1983,3,4.066129032258066,-3.214516129032259,180.4
1983,4,7.913333333333332,-2.323333333333333,56.19999999999999
1983,5,14.38225806451613,1.77258064516129,58.5
1983,6,14.76333333333333,3.18,48.699999999999996
1983,7,17.901612903225807,5.798387096774194,211.00000000000006
1983,8,20.6758064516129,7.604838709677419,33.6
1983,9,13.113333333333335,1.8300000000000003,87.10000000000001
1984,1,0.30161290322580636,-6.550000000000001,255.9
1984,10,4.959677419354837,-2.8725806451612903,157.99999999999997
1984,11,-1.6633333333333333,-6.886666666666666,248.19999999999996
1984,12,-4.233870967741935,-10.940322580645162,228.7
1984,2,0.9465517241379309,-5.71551724137931,121.49999999999997
1984,3,4.240322580645161,-3.5112903225806447,154.89999999999998
1984,4,5.043333333333333,-4.610000000000001,103.80000000000001
1984,5,8.530645161290321,-2.0725806451612905,164.6
1984,6,14.439999999999998,2.07,80.0
1984,7,22.053225806451614,6.891935483870966,1.0
1984,8,20.36290322580646,5.943548387096774,20.7
1984,9,14.036666666666664,2.1966666666666663,60.599999999999994
1985,1,-2.2467741935483874,-8.337096774193549,53.2
1985,10,4.701612903225807,-2.291935483870968,275.4
1985,11,-6.613333333333333,-13.430000000000001,203.89999999999998
1985,12,-2.653225806451614,-9.356451612903227,70.39999999999999
1985,2,-1.9535714285714274,-10.414285714285713,177.3
1985,3,2.582258064516128,-6.517741935483873,139.0
1985,4,7.833333333333333,-2.7599999999999993,129.5
1985,5,12.866129032258064,0.030645161290322444,44.4
1985,6,14.643333333333334,2.0433333333333334,43.50000000000001
1985,7,25.608064516129033,9.524193548387098,6.2
1985,8,19.417741935483868,5.853225806451612,23.300000000000004
1985,9,12.40666666666667,2.016666666666667,67.6
1986,1,-1.5822580645161286,-7.579032258064514,264.59999999999997
1986,10,11.34032258064516,1.7629032258064519,97.50000000000001
1986,11,0.7999999999999997,-5.966666666666667,373.40000000000003
1986,12,-2.6370967741935485,-9.246774193548388,147.5
1986,2,-1.2,-8.975,243.2
1986,3,4.243548387096774,-4.85,102.69999999999999
1986,4,6.053333333333334,-5.706666666666667,71.19999999999999
1986,5,12.653225806451612,0.09516129032258051,92.70000000000002
1986,6,18.84,3.5866666666666664,23.0
1986,7,15.91774193548387,3.4016129032258062,26.000000000000004
1986,8,24.14354838709678,10.00483870967742,1.8000000000000003
1986,9,12.139999999999997,1.7866666666666668,100.89999999999999
1987,1,-2.717741935483871,-9.550000000000002,256.6
1987,10,12.97903225806452,2.4564516129032254,8.4
1987,11,1.9333333333333336,-4.12,152.3
