Year,Month,taMax,taMin,prcp
2006,1,-0.6941935483870969,-6.127096774193549,293.83370999999994
2006,10,14.470322580645162,1.537741935483871,51.19575999999999
2006,11,1.8506666666666667,-3.4893333333333327,265.36569999999995
2006,12,0.5974193548387096,-4.426451612903226,445.5385500000001
2006,2,1.4349999999999998,-6.355357142857144,373.03502
2006,3,4.098064516129032,-3.9483870967741934,472.18145000000004
2006,4,9.948333333333332,-3.721333333333334,38.59869
2006,5,11.374516129032255,1.1764516129032259,171.82953
2006,6,15.80566666666667,2.928333333333333,30.09753
2006,7,21.47387096774194,6.080645161290323,9.91241
2006,8,22.889032258064514,7.5835483870967755,2.96739
2006,9,20.469,6.098666666666668,4.59487
2007,1,0.17258064516129026,-5.151935483870967,239.84815999999998
2007,10,6.5516129032258075,-1.5277419354838713,106.79598
2007,11,4.1866666666666665,-2.0913333333333335,369.79497000000003
2007,12,-1.0109677419354839,-6.895806451612903,147.72940999999997
2007,2,-0.497142857142857,-8.8775,237.02945
2007,3,6.191935483870969,-2.926129032258064,326.9298099999999
2007,4,6.799666666666668,-3.1786666666666665,108.69936
2007,5,15.002903225806447,1.8541935483870964,15.868989999999998
2007,6,15.467000000000002,3.7333333333333325,108.92952
2007,7,22.191612903225813,7.629999999999999,16.03737
2007,8,22.983870967741932,10.413225806451612,17.83538
2007,9,15.571333333333335,5.460999999999999,96.60673
2008,1,-1.639032258064516,-6.377419354838711,140.72748
2008,10,5.909032258064516,-1.76,270.83547
2008,11,1.0936666666666663,-4.023666666666666,187.19322999999997
2008,12,-2.9693548387096773,-7.913225806451614,406.16017999999997
2008,2,1.103448275862069,-6.375172413793104,329.44378
2008,3,5.758709677419353,-3.4180645161290326,152.75979000000004
2008,4,8.866333333333335,-2.4993333333333334,68.44208
2008,5,11.523548387096772,0.31096774193548377,101.52931
2008,6,12.853,3.427333333333333,234.71317000000005
2008,7,20.59161290322581,7.1812903225806455,21.968660000000007
2008,8,22.653870967741934,7.620967741935484,8.03273
2008,9,17.08966666666667,4.160666666666667,27.117530000000006
2009,1,-1.5487096774193552,-7.453870967741937,522.3324500000001
2009,10,9.410645161290326,0.7035483870967744,222.07356
2009,11,-2.1813333333333333,-7.992999999999999,295.75703999999996
2009,12,0.7306451612903224,-4.981290322580645,104.01682
2009,2,0.7442857142857143,-5.665,386.13438
2009,3,6.893870967741938,-3.122580645161291,384.74352999999996
2009,4,7.776666666666668,-2.595,106.49668999999999
2009,5,16.461290322580645,1.71,9.35784
2009,6,17.850666666666662,5.723333333333333,58.82699000000001
2009,7,23.659354838709678,8.11967741935484,5.1855
2009,8,20.64645161290322,8.512580645161288,40.13821
2009,9,16.425000000000004,5.438000000000001,48.127539999999996
2010,1,-1.0448387096774194,-7.990645161290322,348.58397
2010,10,7.355806451612903,-0.9696774193548386,111.62205
2010,11,1.8053333333333332,-3.710999999999999,458.91225999999995
2010,12,-2.502903225806451,-7.707741935483873,111.07655
2010,2,0.10035714285714281,-7.463571428571428,359.17311000000007
2010,3,5.1012903225806445,-3.565806451612903,286.46297999999996
2010,4,11.948333333333332,-1.7899999999999998,49.38367000000001
2010,5,12.962580645161287,-0.12548387096774188,41.78826
2010,6,17.70433333333333,2.8209999999999997,8.37585
2010,7,20.751290322580648,8.513870967741934,72.7899
2010,8,21.57967741935484,6.945161290322581,1.84087
2010,9,21.101999999999997,7.5393333333333326,26.694849999999995
2011,1,2.396451612903226,-3.301290322580645,293.51985999999994
2011,10,6.894516129032259,-1.2964516129032253,58.791889999999995
2011,11,2.9763333333333337,-3.776666666666667,65.86961
2011,12,0.8970967741935483,-4.4064516129032265,250.44586999999999
2011,2,-0.6217857142857143,-7.656071428571428,141.72686000000002
2011,3,4.268387096774194,-4.8438709677419345,86.55317000000002
2011,4,9.169,-2.4426666666666668,59.20254
2011,5,14.566774193548387,1.2596774193548388,57.237320000000004
2011,6,18.84466666666667,3.783,13.196560000000002
2011,7,20.817741935483873,8.186774193548386,54.256449999999994
2011,8,22.232580645161296,9.377096774193548,13.02356
2011,9,14.370333333333331,4.151666666666666,161.33280000000002
2012,1,0.9529032258064518,-4.3193548387096765,415.50225
2012,10,5.547741935483872,-1.528709677419355,338.10936
2012,11,-0.13066666666666668,-6.689666666666666,343.62949000000003
2012,12,0.03709677419354833,-5.27,454.78585
2012,2,4.3806896551724135,-3.7665517241379316,111.86552000000003
2012,3,7.469032258064515,-1.8890322580645165,199.13616000000002
2012,4,11.106666666666667,-2.3376666666666663,45.50691
2012,5,13.63774193548387,0.684516129032258,48.31793
2012,6,16.10833333333333,3.578,90.98917999999999
2012,7,21.11935483870968,7.2532258064516135,31.95876
2012,8,24.823870967741936,10.307419354838709,13.40758
2012,9,20.619666666666667,6.7203333333333335,77.45554
2013,1,-0.23838709677419345,-6.1241935483870975,460.56370000000004
2013,10,10.866774193548386,1.84,112.89445
2013,11,1.7476666666666665,-3.6016666666666675,636.5311499999999
2013,12,-0.022580645161290228,-5.084516129032258,462.10822
2013,2,-2.8103571428571423,-10.129285714285714,101.87009
2013,3,4.32258064516129,-4.946129032258064,156.18964999999997
2013,4,6.747,-3.6156666666666673,100.81104000000002
2013,5,8.834193548387097,-0.7764516129032256,126.17404999999998
2013,6,17.474666666666668,4.935666666666666,61.419019999999996
2013,7,20.459032258064518,7.323870967741936,26.32719
2013,8,25.30354838709677,8.243870967741934,0.3054
2013,9,17.806333333333328,2.542333333333333,5.57061
2014,1,2.1970967741935485,-4.008064516129033,415.9272399999999
2014,10,8.726451612903228,-0.3974193548387098,250.80010000000001
