"Data Source: Data Downloads Tools in the Climate Toolbox (https://climatetoolbox.org/tool/data-download)"
Download Date: 10/18/2021

Product: Future Climate Projections (Daily) - MACAv2-METDATA(https://climate.northwestknowledge.net/MACA/) 
"Location (Lat/Lon of 4-km Grid Cell Center): 47.4794 North,-120.9806 East" 
Variable List: 
tasmax: Max Daily Temperature from GFDL-ESM2M (USA) RCP 4.5 (2006-2099)
tasmin: Min Daily Temperature from GFDL-ESM2M (USA) RCP 4.5 (2006-2099)
pr: Precipitation from GFDL-ESM2M (USA) RCP 4.5 (2006-2099)
********************************************************
Year,Month,Day,tasmax-GFDL-ESM2M(degC),tasmin-GFDL-ESM2M(degC),pr-GFDL-ESM2M(mm)
2006,1,1,-3.65,-11.20,19.30374
2006,1,2,-2.98,-12.26,19.14705
2006,1,3,-0.54,-12.31,0
2006,1,4,0.65,-6.28,0
2006,1,5,0.80,-5.96,0.72447
2006,1,6,0.85,-8.44,0
2006,1,7,0.91,-7.04,0
2006,1,8,1.43,-3.79,7.50159
2006,1,9,0.67,-4.90,20.57215
2006,1,10,-0.37,-11.36,0
2006,1,11,-1.05,-8.42,7.32787
2006,1,12,0.51,-7.72,0
2006,1,13,-0.14,-7.40,9.28915
2006,1,14,0.41,-7.25,0
2006,1,15,1.11,-7.76,45.77989
2006,1,16,0.64,-5.06,22.27995
2006,1,17,-2.38,-5.98,7.10572
2006,1,18,-0.96,-7.31,6.13154
2006,1,19,-2.15,-8.87,2.2799
2006,1,20,-1.91,-11.88,4.95844
2006,1,21,-0.08,-6.87,8.28526
2006,1,22,-1.99,-6.17,20.95323
2006,1,23,-2.75,-7.32,33.09702
2006,1,24,-1.00,-11.03,11.77002
2006,1,25,-6.20,-13.99,0
2006,1,26,-9.55,-20.67,0
2006,1,27,-8.28,-18.25,0
2006,1,28,-7.43,-15.89,0
2006,1,29,-5.72,-13.97,0
2006,1,30,-5.87,-12.74,0
2006,1,31,-4.57,-13.20,0
2006,2,1,-4.64,-14.41,0
2006,2,2,-0.89,-10.23,3.87966
2006,2,3,0.64,-8.49,35.07556
2006,2,4,1.55,-3.93,20.79673
2006,2,5,-0.04,-8.87,2.50849
2006,2,6,2.06,-11.28,20.94551
2006,2,7,0.47,-4.63,15.37294
2006,2,8,0.65,-5.32,8.44098
2006,2,9,1.27,-6.45,9.83101
2006,2,10,0.61,-4.37,15.21781
2006,2,11,1.50,-5.25,37.67111
2006,2,12,2.91,-1.93,5.76151
2006,2,13,0.56,-4.52,5.60945
2006,2,14,1.34,-4.95,1.34379
2006,2,15,-0.72,-9.79,0
2006,2,16,0.80,-6.58,1.40887
2006,2,17,-0.56,-5.46,16.58213
2006,2,18,1.36,-6.43,11.17523
2006,2,19,2.14,-7.31,64.76432
2006,2,20,3.36,-0.18,64.05276
2006,2,21,3.15,-4.19,26.84343
2006,2,22,0.64,-8.62,3.44907
2006,2,23,-1.47,-9.41,0.48839
2006,2,24,-2.12,-9.71,0
2006,2,25,-1.20,-8.69,0
2006,2,26,-1.13,-9.63,0
2006,2,27,-1.28,-8.63,0
2006,2,28,-0.67,-8.32,0
2006,3,1,-0.14,-6.20,5.06217
2006,3,2,1.61,-5.97,1.60018
2006,3,3,1.22,-6.52,0
2006,3,4,1.29,-6.62,0.4024
2006,3,5,1.18,-6.01,5.51173
2006,3,6,4.19,-4.35,11.19161
2006,3,7,4.89,-5.66,8.35862
2006,3,8,4.87,-5.85,27.00041
2006,3,9,6.92,-3.23,9.37747
2006,3,10,3.36,-5.33,0
2006,3,11,5.25,-6.27,1.36513
2006,3,12,6.14,-6.11,0
2006,3,13,8.21,-5.62,0
2006,3,14,9.15,-1.90,1.91474
2006,3,15,7.42,-0.74,29.39866
2006,3,16,8.61,-2.64,44.34614
2006,3,17,3.80,-4.62,23.35502
2006,3,18,4.15,-4.78,7.02218
2006,3,19,4.57,-3.67,2.51259
2006,3,20,4.85,-4.34,1.04908
2006,3,21,6.16,-4.40,3.36015
2006,3,22,5.03,-6.04,0
2006,3,23,8.51,-4.74,0
2006,3,24,9.07,-3.70,2.63509
2006,3,25,7.80,-3.47,1.3327
2006,3,26,7.27,-5.43,0
2006,3,27,5.65,-6.62,0
2006,3,28,0.44,-7.39,0
2006,3,29,-0.42,-7.40,0
2006,3,30,0.89,-7.01,1.64411
2006,3,31,1.88,-6.62,0
2006,4,1,1.26,-6.55,2.46896
2006,4,2,-0.73,-7.53,3.66993
2006,4,3,1.11,-6.54,3.884
2006,4,4,1.78,-6.68,2.9552
2006,4,5,1.46,-6.43,3.32885
2006,4,6,2.80,-6.79,4.34631
2006,4,7,1.22,-5.74,15.67529
2006,4,8,4.69,-3.22,7.09068
2006,4,9,5.21,-5.61,1.02243
