"Data Source: Data Downloads Tools in the Climate Toolbox (https://climatetoolbox.org/tool/data-download)"
Download Date: 10/18/2021

Product: Future Climate Projections (Daily) - MACAv2-METDATA(https://climate.northwestknowledge.net/MACA/) 
"Location (Lat/Lon of 4-km Grid Cell Center): 47.4794 North,-120.9806 East" 
Variable List: 
tasmax: Max Daily Temperature from NorESM1-M (Norway) RCP 8.5 (2006-2099)
tasmin: Min Daily Temperature from NorESM1-M (Norway) RCP 8.5 (2006-2099)
pr: Precipitation from NorESM1-M (Norway) RCP 8.5 (2006-2099)
********************************************************
Year,Month,Day,tasmax-NorESM1-M(degC),tasmin-NorESM1-M(degC),pr-NorESM1-M(mm)
2006,1,1,0.18,-5.48,23.18286
2006,1,2,2.19,-4.18,71.70892
2006,1,3,1.58,-4.19,43.4533
2006,1,4,2.62,-6.48,33.77057
2006,1,5,1.04,-3.00,23.45307
2006,1,6,0.99,-3.84,27.64694
2006,1,7,0.86,-5.25,22.17731
2006,1,8,0.80,-4.15,46.32814
2006,1,9,1.69,-3.92,45.67276
2006,1,10,-0.12,-7.87,0.48793
2006,1,11,-1.79,-8.50,0
2006,1,12,-2.26,-8.44,0.36774
2006,1,13,-1.53,-8.07,0
2006,1,14,-0.96,-6.79,7.19597
2006,1,15,-0.39,-6.79,33.62015
2006,1,16,0.52,-6.55,30.31999
2006,1,17,0.40,-4.51,9.51658
2006,1,18,-0.57,-8.17,0
2006,1,19,-1.57,-8.39,0
2006,1,20,-0.86,-8.83,1.14425
2006,1,21,-1.50,-7.98,5.10165
2006,1,22,-0.48,-6.00,4.6792
2006,1,23,-0.98,-5.72,8.09406
2006,1,24,0.19,-1.98,12.29109
2006,1,25,0.39,-9.26,0.34711
2006,1,26,-2.71,-10.62,0
2006,1,27,-1.92,-9.65,0
2006,1,28,-1.71,-9.55,0
2006,1,29,-2.50,-10.01,0.36554
2006,1,30,-4.26,-11.36,2.52183
2006,1,31,-3.93,-11.93,0
2006,2,1,-3.14,-12.29,0
2006,2,2,-5.04,-12.78,0
2006,2,3,-8.51,-14.80,0
2006,2,4,-8.63,-14.75,0.84962
2006,2,5,-8.67,-14.15,0.34578
2006,2,6,-6.95,-15.82,2.72911
2006,2,7,-4.75,-16.59,1.29749
2006,2,8,-4.13,-13.78,13.0124
2006,2,9,2.55,-9.36,35.71956
2006,2,10,3.91,-1.77,18.88154
2006,2,11,2.12,-3.07,9.25058
2006,2,12,3.66,-3.23,18.51155
2006,2,13,0.90,-6.04,43.70346
2006,2,14,3.58,-5.26,16.60403
2006,2,15,1.77,-6.77,4.63957
2006,2,16,1.66,-5.48,4.6042
2006,2,17,1.25,-6.80,3.5107
2006,2,18,0.22,-7.55,16.96579
2006,2,19,-0.06,-5.90,13.57485
2006,2,20,0.73,-5.40,3.46943
2006,2,21,-1.63,-8.16,1.24293
2006,2,22,-6.43,-11.73,35.61713
2006,2,23,-0.63,-7.84,30.68793
2006,2,24,2.67,-5.85,0.84152
2006,2,25,3.16,-6.17,4.57298
2006,2,26,2.89,-5.07,6.85888
2006,2,27,0.44,-3.57,14.97973
2006,2,28,1.44,-6.09,8.2586
2006,3,1,0.68,-6.80,5.66506
2006,3,2,1.46,-6.76,11.40582
2006,3,3,1.75,-6.24,43.65335
2006,3,4,4.31,-3.76,15.25937
2006,3,5,3.85,-6.24,0.29216
2006,3,6,1.72,-6.56,0
2006,3,7,0.18,-6.74,0
2006,3,8,2.22,-6.44,0
2006,3,9,4.76,-7.15,0
2006,3,10,4.68,-6.44,0
2006,3,11,4.37,-7.02,4.22861
2006,3,12,3.66,-6.88,0
2006,3,13,4.30,-7.01,0
2006,3,14,5.93,-6.24,0
2006,3,15,7.12,-4.88,0.85265
2006,3,16,9.64,-2.17,4.13829
2006,3,17,5.04,-4.26,3.21505
2006,3,18,8.24,-4.22,0
2006,3,19,8.78,-4.29,0
2006,3,20,8.99,-6.30,0.50031
2006,3,21,4.80,-5.21,5.81225
2006,3,22,6.47,-7.23,0.88922
2006,3,23,6.87,-6.08,2.58551
2006,3,24,3.44,-5.78,1.62661
2006,3,25,2.78,-7.81,10.49971
2006,3,26,-0.50,-7.17,3.7145
2006,3,27,-0.91,-8.37,2.09097
2006,3,28,0.91,-8.33,2.77158
2006,3,29,1.80,-7.53,0
2006,3,30,2.45,-5.23,1.16606
2006,3,31,4.24,-3.64,0
2006,4,1,7.50,-2.68,0.66294
2006,4,2,8.72,-5.14,0
2006,4,3,8.66,-5.08,0
2006,4,4,6.56,-8.06,0
2006,4,5,7.27,-7.31,0
2006,4,6,12.63,-5.46,0
2006,4,7,15.21,-3.73,0
2006,4,8,18.09,-1.57,0
2006,4,9,17.59,-0.91,0.35871
2006,4,10,15.79,2.09,1.48945
2006,4,11,15.16,4.00,1.66262
2006,4,12,13.85,2.26,2.81906
2006,4,13,12.80,1.70,0.67929
2006,4,14,11.85,-1.24,8.33978
2006,4,15,11.21,2.34,13.32655
2006,4,16,8.41,-0.45,1.10021
2006,4,17,11.54,-1.16,0.31131
2006,4,18,13.09,2.22,9.87486
2006,4,19,8.60,0.28,0.30819
2006,4,20,10.20,1.16,2.04585
2006,4,21,9.79,3.08,9.83902
2006,4,22,6.67,2.18,5.0232
2006,4,23,6.63,0.87,8.62396
2006,4,24,7.54,-1.48,22.8605
2006,4,25,7.46,0.08,10.46718
2006,4,26,6.57,-0.89,4.72144
2006,4,27,5.94,-7.03,0
2006,4,28,7.77,-8.11,0.31578
2006,4,29,8.92,-5.54,0.85284
2006,4,30,9.71,-3.02,0
2006,5,1,8.63,-0.54,0.90162
2006,5,2,6.52,-2.76,13.3954
2006,5,3,4.08,-2.94,2.28116
2006,5,4,5.23,-3.38,10.46223
2006,5,5,9.09,-1.69,23.13717
2006,5,6,7.73,-3.92,0
2006,5,7,10.65,-5.69,0
